sample,case_id,arch,fdi,tooth_id,points,valid_landmarks,distance_mean,distance_median,distance_max,pck@1mm,pck@2mm,pck@3mm,heat_min,heat_max,heat_mean,pos_center_norm,landmark_center_norm,missing_preds,nan_in_x,nan_in_pos,nan_in_y,nan_in_landmarks,shapes_ok,sample_indices_unique
001_L_t31.npz,001,L,31,8,3000,7,0.05595734263105052,0.04958914592862129,0.11385326087474823,1.0,1.0,1.0,0.0,0.9999874830245972,0.35739314556121826,0.27258530259132385,0.16877593100070953,0,False,False,False,False,True,True
001_L_t32.npz,001,L,32,9,3000,7,0.05666016787290573,0.0455060750246048,0.09871722012758255,1.0,1.0,1.0,0.0,0.999991238117218,0.331665962934494,0.18862640857696533,0.25275155901908875,0,False,False,False,False,True,True
001_L_t33.npz,001,L,33,10,3000,5,0.0833635687828064,0.0796603336930275,0.11357585340738297,1.0,1.0,1.0,0.0,0.9999179840087891,0.20254506170749664,0.5110191106796265,0.2327132374048233,0,False,False,False,False,True,True
001_L_t34.npz,001,L,34,11,3000,9,0.08174740688668357,0.07550706714391708,0.1324285864830017,1.0,1.0,1.0,0.0,0.999994695186615,0.4132916033267975,0.43719300627708435,1.0841645002365112,0,False,False,False,False,True,True
001_L_t35.npz,001,L,35,12,3000,9,0.07479273776213329,0.07247067987918854,0.09610740840435028,1.0,1.0,1.0,0.0,0.9999246597290039,0.42480236291885376,0.32202622294425964,0.7921644449234009,0,False,False,False,False,True,True
001_L_t36.npz,001,L,36,13,3000,12,0.1233658983061711,0.11974283307790756,0.209614560008049,1.0,1.0,1.0,0.05002820864319801,0.9999443888664246,0.4507288336753845,0.34095364809036255,0.27719607949256897,0,False,False,False,False,True,True
001_L_t37.npz,001,L,37,14,3000,10,0.0851162277162075,0.08046306669712067,0.13655322790145874,1.0,1.0,1.0,0.0,0.9999601244926453,0.45209231972694397,0.3527199327945709,0.9540934562683105,0,False,False,False,False,True,True
001_L_t41.npz,001,L,41,1,3000,7,0.08445630728134088,0.09315039962530136,0.15408927202224731,1.0,1.0,1.0,0.0,0.9999836087226868,0.34575971961021423,0.3377252221107483,0.31488147377967834,0,False,False,False,False,True,True
001_L_t42.npz,001,L,42,2,3000,7,0.06311310854341302,0.05845707282423973,0.09567898511886597,1.0,1.0,1.0,0.0,0.9999891519546509,0.32434526085853577,0.18105697631835938,0.37399089336395264,0,False,False,False,False,True,True
001_L_t43.npz,001,L,43,3,3000,5,0.09916489720344543,0.11886925250291824,0.12540830671787262,1.0,1.0,1.0,0.0,0.9999377727508545,0.21144632995128632,0.3795087933540344,0.27599555253982544,0,False,False,False,False,True,True
001_L_t44.npz,001,L,44,4,3000,9,0.07113371246183912,0.06258832663297653,0.12080513685941696,1.0,1.0,1.0,0.0,0.9999988079071045,0.40710142254829407,0.4516375958919525,1.403258204460144,0,False,False,False,False,True,True
001_L_t45.npz,001,L,45,5,3000,9,0.0829681468506654,0.08023770898580551,0.12177271395921707,1.0,1.0,1.0,0.0,0.9999681711196899,0.4343581199645996,0.3183550238609314,0.8034170269966125,0,False,False,False,False,True,True
001_L_t46.npz,001,L,46,6,3000,12,0.10037411392355959,0.11777738481760025,0.1564556211233139,1.0,1.0,1.0,0.04748282954096794,0.9999914169311523,0.45706650614738464,0.24635308980941772,0.2669808566570282,0,False,False,False,False,True,True
001_L_t47.npz,001,L,47,7,3000,12,0.09486427623778582,0.09534433111548424,0.14253805577754974,1.0,1.0,1.0,0.05141613632440567,0.9999852180480957,0.5109965801239014,0.44548556208610535,0.8273101449012756,0,False,False,False,False,True,True
001_U_t11.npz,001,U,11,1,3000,7,0.08237097784876823,0.08365407586097717,0.1632678210735321,1.0,1.0,1.0,0.0,0.9999943375587463,0.2731975018978119,0.21560612320899963,0.8534233570098877,0,False,False,False,False,True,True
001_U_t12.npz,001,U,12,2,3000,7,0.11514550766774587,0.07357122004032135,0.288390189409256,1.0,1.0,1.0,0.0,0.9999122619628906,0.2849227786064148,0.18756061792373657,0.6016985177993774,0,False,False,False,False,True,True
001_U_t13.npz,001,U,13,3,3000,5,0.06834485828876495,0.0824844241142273,0.10535000264644623,1.0,1.0,1.0,0.0,0.9999831318855286,0.21345044672489166,0.30362001061439514,0.28776609897613525,0,False,False,False,False,True,True
001_U_t14.npz,001,U,14,4,3000,9,0.10593034989304012,0.101019948720932,0.15665583312511444,1.0,1.0,1.0,0.0,0.9999338388442993,0.397548645734787,0.22018425166606903,1.00197172164917,0,False,False,False,False,True,True
001_U_t15.npz,001,U,15,5,3000,9,0.08903348518328534,0.09739430993795395,0.1488652229309082,1.0,1.0,1.0,0.0,0.9999995827674866,0.4227975308895111,0.18966130912303925,0.8190755844116211,0,False,False,False,False,True,True
001_U_t16.npz,001,U,16,6,3000,12,0.1003664822007219,0.09906723722815514,0.20545819401741028,1.0,1.0,1.0,0.03654367849230766,0.9999639391899109,0.4408145248889923,0.2110084891319275,0.5962313413619995,0,False,False,False,False,True,True
001_U_t17.npz,001,U,17,7,3000,12,0.08718344600250323,0.07873538881540298,0.14972372353076935,1.0,1.0,1.0,0.0401320680975914,0.9999765157699585,0.5110324025154114,0.2680695056915283,0.7451092004776001,0,False,False,False,False,True,True
001_U_t21.npz,001,U,21,8,3000,7,0.12121550419500896,0.11555330455303192,0.16570383310317993,1.0,1.0,1.0,0.0,0.9997931122779846,0.259748250246048,0.27488282322883606,0.6167322993278503,0,False,False,False,False,True,True
001_U_t22.npz,001,U,22,9,3000,7,0.10944864579609462,0.09036708623170853,0.1777854859828949,1.0,1.0,1.0,0.0,0.9999464154243469,0.2857704162597656,0.12902893126010895,0.7899551391601562,0,False,False,False,False,True,True
001_U_t23.npz,001,U,23,10,3000,5,0.11508577093482017,0.12740756571292877,0.16611891984939575,1.0,1.0,1.0,0.0,0.9999523162841797,0.20172448456287384,0.28800302743911743,0.2634883522987366,0,False,False,False,False,True,True
001_U_t24.npz,001,U,24,11,3000,9,0.09173132065269682,0.09285520762205124,0.15643823146820068,1.0,1.0,1.0,0.0,0.9999510049819946,0.3925018906593323,0.2551565170288086,0.7544727325439453,0,False,False,False,False,True,True
001_U_t25.npz,001,U,25,12,3000,8,0.10186548111960292,0.10555174946784973,0.14592473208904266,1.0,1.0,1.0,0.0,0.9999502897262573,0.3685479760169983,0.14597971737384796,0.9396947622299194,0,False,False,False,False,True,True
001_U_t26.npz,001,U,26,13,3000,12,0.10500360854590933,0.10320371389389038,0.1909932941198349,1.0,1.0,1.0,0.03294488415122032,0.9999921917915344,0.4441830515861511,0.29184842109680176,0.5816595554351807,0,False,False,False,False,True,True
001_U_t27.npz,001,U,27,14,3000,12,0.13139882870018482,0.11693296208977699,0.17835673689842224,1.0,1.0,1.0,0.0389707125723362,0.9998090267181396,0.49454498291015625,0.1536455899477005,0.7929941415786743,0,False,False,False,False,True,True
