case_id,tooth_id,total_expected,total_present,ratio,ratio_floor,margin_floor,margin_p20,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
901,t11,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t12,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t13,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t14,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t15,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t16,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t17,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t21,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t22,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t23,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t24,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t25,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t26,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
901,t27,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
901,t31,7,7,1.0,0.7,0.55,0.5210475444793701,0.5794416069984436,0.25,1.0,True,False,margin
901,t32,7,7,1.0,0.7,0.55,0.5301431894302369,0.6243634819984436,0.25,1.0,True,False,margin
901,t33,5,5,1.0,0.7,0.55,0.5075602412223816,0.599173367023468,0.25,1.0,True,False,margin
901,t34,9,9,1.0,0.7,0.55,0.5400871992111206,0.5681244730949402,0.25,1.0,True,False,margin
901,t35,9,9,1.0,0.7,0.55,0.5296240448951721,0.5573461055755615,0.25,1.0,True,False,margin
901,t36,12,12,1.0,0.7,0.55,0.5092787504196167,0.5706796646118164,0.25,1.0,True,False,margin
901,t37,12,12,1.0,0.6,0.48,0.5335636019706727,0.5639830827713013,0.25,1.0,False,False,
901,t41,7,7,1.0,0.7,0.55,0.5518763184547425,0.6051026582717896,0.25,1.0,False,False,
901,t42,7,7,1.0,0.7,0.55,0.5172481536865234,0.5680081844329834,0.25,1.0,True,False,margin
901,t43,5,5,1.0,0.7,0.55,0.5110529780387878,0.5249108076095581,0.25,1.0,True,False,margin
901,t44,9,9,1.0,0.7,0.55,0.5292451620101929,0.5632249116897583,0.25,1.0,True,False,margin
901,t45,9,9,1.0,0.7,0.55,0.5318174600601197,0.5731520056724548,0.25,1.0,True,False,margin
901,t46,12,12,1.0,0.7,0.55,0.517772912979126,0.5701872706413269,0.25,1.0,True,False,margin
901,t47,12,12,1.0,0.6,0.48,0.5086174964904785,0.5846714377403259,0.25,1.0,False,False,
