case_id,tooth_id,total_expected,total_present,ratio,ratio_floor,margin_floor,margin_p20,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
001,t11,7,7,1.0,0.7,0.55,0.6035879254341125,0.6620081067085266,0.25,,False,False,
001,t12,7,7,1.0,0.7,0.55,0.626647412776947,0.6610620617866516,0.25,,False,False,
001,t13,5,5,1.0,0.7,0.55,0.6474784016609192,0.6706773638725281,0.25,,False,False,
001,t14,9,9,1.0,0.7,0.55,0.5379296541213989,0.6037656664848328,0.25,,True,False,margin
001,t15,9,9,1.0,0.7,0.55,0.5481635928153992,0.6274082660675049,0.25,,True,False,margin
001,t16,12,12,1.0,0.7,0.55,0.5500271916389465,0.5745616555213928,0.25,,False,False,
001,t17,12,12,1.0,0.7,0.55,0.5296871066093445,0.5670709013938904,0.25,,True,False,margin
001,t21,7,7,1.0,0.7,0.55,0.6274198293685913,0.6511601209640503,0.25,,False,False,
001,t22,7,7,1.0,0.7,0.55,0.5969117283821106,0.6383495330810547,0.25,,False,False,
001,t23,5,5,1.0,0.7,0.55,0.6695234179496765,0.7080010771751404,0.25,,False,False,
001,t24,9,9,1.0,0.7,0.55,0.584272563457489,0.6455787420272827,0.25,,False,False,
001,t25,9,8,0.8888888888888888,0.7,0.55,0.6128805875778198,0.6630476713180542,0.25,,False,False,
001,t26,12,12,1.0,0.7,0.55,0.5343331098556519,0.5977281332015991,0.25,,True,False,margin
001,t27,12,12,1.0,0.6,0.48,0.563133716583252,0.5959823131561279,0.25,,False,False,
001,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t36,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t37,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
001,t41,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t42,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t43,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t44,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
001,t45,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
